query,title,year,venue,doi,type
self shadowing robotics,Chain Transitive Sets and Shadowing,2017,Lecture Notes in Mathematics,10.1007/978-3-319-65184-2_4,book-chapter
self shadowing robotics,Self-localization of Sensor Node Using Monte Carlo Method Considering Shadowing,2020,"2020 17th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)",10.1109/cce50788.2020.9299163,proceedings-article
self shadowing robotics,Architecture of behavior-based and robotics self-optimizing memory controller,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152510,proceedings-article
self shadowing robotics,,2016,,10.1117/12.2235468.5159519613001,component
self shadowing robotics,Modeling variability in self-adapting robotic systems,2023,Robotics and Autonomous Systems,10.1016/j.robot.2023.104470,journal-article
self shadowing robotics,Stochastic self-reconfigurable cellular robotics,2004,"IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA '04. 2004",10.1109/robot.2004.1307499,proceedings-article
self shadowing robotics,,2016,,10.1117/12.2236351.5163995467001,component
self shadowing robotics,Right hemithorax air space shadowing,2009,Radiopaedia.org,10.53347/rid-6231,reference-entry
self shadowing robotics,Teaching EFL Learners Shadowing for Listening,2016,,10.4324/9781315677118,monograph
self shadowing robotics,On a shadowing lemma in metric spaces,1992,Mathematica Bohemica,10.21136/mb.1992.125908,journal-article
self shadowing robotics,On genericity of shadowing and periodic shadowing property,2005,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2005.01.053,journal-article
self shadowing robotics,“Shadowing pathologies” of diaphragm wall concretes,2026,,10.70675/291a4629z76eaz4ed8z850cz2d0698d04046,dissertation
self shadowing robotics,Self-augmented robot trajectory: efficient imitation learning via safe self-augmentation with demonstrator-annotated precision,2026,Advanced Robotics,10.1080/01691864.2026.2631642,journal-article
self shadowing robotics,,2022,,10.3030/828818,grant
self shadowing robotics,Self-shadowing teaching strategies in complex geometry of architecture,2025,ENSUS - Encontro de Sustentabilidade em Projeto,10.29183/2596-237x.ensus2025.v13.n1.p1243-1253,proceedings-article
self shadowing robotics,Self-Learning AI for Adaptive Humanoid Robotics: Towards Generalized Autonomy,2025,,10.22541/au.174802371.13279686/v1,posted-content
self shadowing robotics,Von Neumann revisited: A turing machine with self-repair and self-reproduction properties,1997,Robotics and Autonomous Systems,10.1016/s0921-8890(97)00015-8,journal-article
self shadowing robotics,Lipschitz and Hölder Shadowing and Structural Stability,2017,Lecture Notes in Mathematics,10.1007/978-3-319-65184-2_2,book-chapter
self shadowing robotics,Periodic shadowing and standard shadowing property,2017,Asian-European Journal of Mathematics,10.1142/s1793557117500061,journal-article
self shadowing robotics,Shadowing unstable orbits of the Sitnikov elliptic three-body problem,2010,Monthly Notices of the Royal Astronomical Society,10.1111/j.1365-2966.2010.16974.x,journal-article
self shadowing robotics,"On pseudo-orbit, shadowing, statistical shadowing and orbits of non-Newtonian numbers",2025,Filomat,10.2298/fil2519793d,journal-article
self shadowing robotics,Posterior acoustic shadowing and enhancement,2015,Radiopaedia.org,10.53347/rid-41375,reference-entry
self shadowing robotics,4458321 Self-teaching robot feedback system,1984,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(84)90061-9,journal-article
self shadowing robotics,Performance study of a new disk shadowing scheme,2012,,10.5353/th_b3121459,dissertation
self shadowing robotics,Self-excited Dynamic Active Antenna,1996,Advanced Robotics,10.1163/156855398x00406,journal-article
self shadowing robotics,Self-adapting modular robotics: A generalized distributed consensus framework,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152663,proceedings-article
self shadowing robotics,Interpretation and topographic compensation of conifer canopy self-shadowing,2008,Remote Sensing of Environment,10.1016/j.rse.2008.06.001,journal-article
self shadowing robotics,Room Temperature Self-Healing in Soft Pneumatic Robotics: Autonomous Self-Healing in a Diels-Alder Polymer Network,2020,IEEE Robotics &amp; Automation Magazine,10.1109/mra.2020.3024275,journal-article
self shadowing robotics,Rough-surface shadowing of self-affine random rough surfaces,2007,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2007.01.025,journal-article
self shadowing robotics,Utilization of Shadowing in Introductory Japanese Language Education: Focusing on Learners’ Self-Reflection Records,2025,The Korean Journal of Japanese Education,10.21808/kjje.70.10,journal-article
self shadowing robotics,Overshadowed by shadowing: exploring how Canadian medical students experience shadowing,2022,Canadian Medical Education Journal,10.36834/cmej.74348,journal-article
self shadowing robotics,Acoustic shadowing,2013,Radiopaedia.org,10.53347/rid-24967,reference-entry
self shadowing robotics,Self-shadowing effects on the thermal-structural response of orbiting trusses,1987,Journal of Spacecraft and Rockets,10.2514/3.25922,journal-article
self shadowing robotics,EMERGENT SPECTRA FROM DISKS SURROUNDING KERR BLACK HOLES: EFFECT OF PHOTON TRAPPING AND DISK SELF-SHADOWING,2010,The Astrophysical Journal,10.1088/0004-637x/715/1/623,journal-article
self shadowing robotics,Artificial Self-assembly and Self-repair,2012,Springer Tracts in Advanced Robotics,10.1007/978-4-431-54055-7_5,book-chapter
self shadowing robotics,On shadowing methods for data assimilation,2021,,10.33540/1027,dissertation
self shadowing robotics,"THE SHADOWING PROJECT (TSP) : A NEW DIDACTIC TOOL FOR 21ST CENTURY EUROPEAN GRADUATES COMBINING PBL, CLIL AND JOB SHADOWING PRACTICES",2018,INTED Proceedings,10.21125/inted.2018.0389,proceedings-article
self shadowing robotics,Shadowing or What? Experience of Shadowing Acts of Being in the Field of Education,2019,Qualitative Inquiry,10.1177/1077800418806620,journal-article
self shadowing robotics,Understanding the sense of self through robotics,2024,Science Robotics,10.1126/scirobotics.adn2733,journal-article
self shadowing robotics,Control Strategies for Two-Wheeled Self-Balancing Robotic Systems: A Comprehensive Review,2025,Robotics,10.3390/robotics14080101,journal-article
self shadowing robotics,Self-organization of multi-mode oscillation,1998,Advanced Robotics,10.1163/156855399x00559,journal-article
self shadowing robotics,Shadowing Multilingual Learners,2021,,10.4135/9781071818619,monograph
self shadowing robotics,Shadowing in Dynamical Systems,2000,,10.1007/978-1-4757-3210-8,book
self shadowing robotics,Shadowing the Anthropocene: Eco-Realism for Turbulent Times,2018,,10.1353/book.66811,edited-book
self shadowing robotics,Self-Perceptional Soft Robotics by a Dielectric Elastomer,2024,,10.1021/acsami.4c04700.s006,component
self shadowing robotics,Self-Perceptional Soft Robotics by a Dielectric Elastomer,2024,,10.1021/acsami.4c04700.s001,component
self shadowing robotics,Self-Perceptional Soft Robotics by a Dielectric Elastomer,2024,,10.1021/acsami.4c04700.s004,component
self shadowing robotics,Requirement to standardise self reconfigurable robotics,2004,Proceedings 2003 IEEE International Symposium on Computational Intelligence in Robotics and Automation. Computational Intelligence in Robotics and Automation for the New Millennium (Cat. No.03EX694),10.1109/cira.2003.1222318,proceedings-article
self shadowing robotics,Developmental Collective Robotics,2013,Handbook of Collective Robotics,10.1201/b14908-18,book-chapter
self shadowing robotics,Self-Perceptional Soft Robotics by a Dielectric Elastomer,2024,,10.1021/acsami.4c04700.s003,component
self shadowing robotics,Self-Perceptional Soft Robotics by a Dielectric Elastomer,2024,,10.1021/acsami.4c04700.s002,component
self shadowing robotics,Self-Perceptional Soft Robotics by a Dielectric Elastomer,2024,,10.1021/acsami.4c04700.s005,component
self shadowing robotics,The Impact of Educational Robotics on Elementary Students' Self-Esteem and Self-Perception,2021,Proceedings of the 2021 AERA Annual Meeting,10.3102/1687198,proceedings-article
self shadowing robotics,No Self-shadowing Instability in 2D Radiation Hydrodynamical Models of Irradiated Protoplanetary Disks,2022,The Astrophysical Journal,10.3847/1538-4357/ac7fee,journal-article
self shadowing robotics,Improved self-management architecture in self-adaptive system,2017,2017 Artificial Intelligence and Robotics (IRANOPEN),10.1109/rios.2017.7956435,proceedings-article
self shadowing robotics,The emergence of self-awareness: insights from robotics,2023,,10.31234/osf.io/j5wd4,posted-content
self shadowing robotics,Self‐Healing Materials in Robotics,2021,Self‐Healing Smart Materials and Allied Applications,10.1002/9781119710219.ch16,other
self shadowing robotics,SHADOWING AND SECONDMENT USAGE AS STAFF DEVELOPMENT METHODS IN OUTSTAFFING,2020,Human Progress,10.34709/im.163.4,journal-article
self shadowing robotics,C 1 Interiors of Sets of Systems with Various Shadowing Properties,2017,Lecture Notes in Mathematics,10.1007/978-3-319-65184-2_3,book-chapter
self shadowing robotics,Path Loss and Shadowing,2005,Wireless Communications,10.1017/cbo9780511841224.003,book-chapter
self shadowing robotics,SELF-SHADOWING EFFECTS OF SLIM ACCRETION DISKS IN ACTIVE GALACTIC NUCLEI: THE DIVERSE APPEARANCE OF THE BROAD-LINE REGION,2014,The Astrophysical Journal,10.1088/0004-637x/797/1/65,journal-article
self shadowing robotics,Emergent Cognitive Mappings in Mobile Robots Through Self-organisation,2007,Springer Tracts in Advanced Robotics,10.1007/978-3-540-75388-9_6,book-chapter
self shadowing robotics,The rise of robotics in self-driving labs,2026,npj Robotics,10.1038/s44182-026-00094-z,journal-article
self shadowing robotics,Shadowing staff,2021,50 Quality Improvement and Quality Assurance Approaches,10.4135/9781529755046.n40,book-chapter
self shadowing robotics,Locomotion versatility through self-reconfiguration,1999,Robotics and Autonomous Systems,10.1016/s0921-8890(98)00070-0,journal-article
self shadowing robotics,Designing and programming self-folding sheets,2014,Robotics and Autonomous Systems,10.1016/j.robot.2013.06.015,journal-article
self shadowing robotics,4698775 Self-contained mobile reprogrammable automation device,1988,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(88)90050-6,journal-article
self shadowing robotics,,2019,,10.1117/12.2515095.6013962670001,component
self shadowing robotics,Self-shadowing and surface diffusion effects in obliquely deposited thin films,1999,Thin Solid Films,10.1016/s0040-6090(98)01154-7,journal-article
self shadowing robotics,Self-Monitoring and Self-Healing Bolted Joints Using Shape Memory Alloy,2011,Proceedings of the International Symposium on Automation and Robotics in Construction (IAARC),10.22260/isarc2011/0153,proceedings-article
self shadowing robotics,Shadowing in Dynamical Systems,1999,Lecture Notes in Mathematics,10.1007/bfb0093184,book
self shadowing robotics,Self-Landmarking for Robotics Applications,2011,Advances in Mechatronics,10.5772/21625,book-chapter
self shadowing robotics,A Node-Based Method for SLAM Navigation in Self-Similar Underwater Environments: A Case Study,2017,Robotics,10.3390/robotics6040029,journal-article
self shadowing robotics,Impedance Control Self-Calibration of a Collaborative Robot Using Kinematic Coupling,2019,Robotics,10.3390/robotics8020033,journal-article
self shadowing robotics,Flocks formation model for self-interested UAVs,2021,Intelligent Service Robotics,10.1007/s11370-021-00354-x,journal-article
self shadowing robotics,Self-stabilizing running,2002,Proceedings of International Conference on Robotics and Automation,10.1109/robot.1997.620084,proceedings-article
self shadowing robotics,3D-Printed Self-Healing Elastomers for Modular Soft Robotics,2021,,10.1021/acsami.1c06419.s001,component
self shadowing robotics,Integrating self-health awareness in autonomous systems,2004,Robotics and Autonomous Systems,10.1016/j.robot.2004.07.021,journal-article
self shadowing robotics,Using cellular automata and gradients to control self-reconfiguration,2006,Robotics and Autonomous Systems,10.1016/j.robot.2005.09.017,journal-article
self shadowing robotics,Sensor Computations in Modular Self Reconfigurable Robots,2007,Springer Tracts in Advanced Robotics,10.1007/3-540-36268-1_24,book-chapter
self shadowing robotics,A self-organizing video neuro-tracker,1997,Artificial Life and Robotics,10.1007/bf02471118,journal-article
self shadowing robotics,The Research of Asymptotic Average Shadowing Property and Pointwise Lipschitz Shadowing Property,2022,Journal of Physics: Conference Series,10.1088/1742-6596/2283/1/012016,journal-article
self shadowing robotics,Self-localization using sporadic features,2002,Robotics and Autonomous Systems,10.1016/s0921-8890(02)00236-1,journal-article
self shadowing robotics,Self-adaptation in classifier system controllers,2001,Artificial Life and Robotics,10.1007/bf02481348,journal-article
reflection robot perception,Human telehaptic perception of stiffness using an adaptive impedance reflection bilateral teleoperation control scheme,2010,19th International Symposium in Robot and Human Interactive Communication,10.1109/roman.2010.5598677,proceedings-article
reflection robot perception,"Eye, Robot: Visual Perception and Human-Robot Interaction",2015,The Cambridge Handbook of Applied Perception Research,10.1017/cbo9780511973017.050,book-chapter
reflection robot perception,"Attention, Perception, Experience",2018,Kant on Reflection and Virtue,10.1017/9781108344005.005,book-chapter
reflection robot perception,Haptic Perception with a Robot Hand: Requirements and Realization,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_36,book-chapter
reflection robot perception,Review: On Reflection,1998,Perception,10.1068/p271135,journal-article
reflection robot perception,Learning perception and control for robot intelligence,2019,,10.14711/thesis-991012730762103412,dissertation
reflection robot perception,Cybernetic View of Robot Cognition and Perception,2007,Cognitive Technologies,10.1007/978-3-540-68916-4_1,book-chapter
reflection robot perception,Robot Perception,2026,SpringerBriefs in Computer Science,10.1007/978-981-96-7094-9_3,book-chapter
reflection robot perception,Deep Learning for Robot Perception and Cognition,2022,,10.1016/c2020-0-02902-6,edited-book
reflection robot perception,Robot Snooker,1985,Perception,10.1068/p140661,journal-article
reflection robot perception,"Reimagining Reflection: Gender, Student Perception, and Reflective Writing in the Composition Classroom",2017,,10.25148/etd.fi15032112,dissertation
reflection robot perception,Jewel of Reflection on the Truth about Epistemology: Volume One,2020,,10.5040/9781350066434,book
reflection robot perception,Perception multimodale de l'homme pour l'interaction Homme-Robot,2026,,10.70675/026f3ff9z47c8z40a5z888azcb3318c645bb,dissertation
reflection robot perception,Distributed multi-robot planning using shared perception,2022,,10.14264/897c9ca,dissertation
reflection robot perception,Sensitivity to Reflection and Translation is Modulated by Objectness,2010,Perception,10.1068/p6393,journal-article
reflection robot perception,audio-visual multiple-speaker tracking for robot perception,2026,,10.70675/458d09b0zd84ez41b6zafe8z92aba305db75,dissertation
reflection robot perception,Long-range Terrain Perception Based on Conditional Random Fields,2010,ROBOT,10.3724/sp.j.1218.2010.00326,journal-article
reflection robot perception,"Perception, Knowledge, and Reflection",2024,Perceptual Knowledge and Self-Awareness,10.1093/9780191965210.003.0009,book-chapter
reflection robot perception,Active Perception and 3D Object Recognition,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_8,book-chapter
reflection robot perception,"Haptic perception with an articulated, sensate robot hand",1990,,10.2172/6909453,report
reflection robot perception,Active perception and localization for multi-robot systems,2026,,10.70675/3e3292e3z1057z479dz89f6zf4a267028f8a,dissertation
reflection robot perception,Copyright,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00003-8,book-chapter
reflection robot perception,2026 International Conference on Robot Perception and Intelligent Control (RPIC),2026,,10.1109/rpic68328.2026,proceedings
reflection robot perception,Factor Graphs for Robot Perception,2017,,10.1561/9781680833270,monograph
reflection robot perception,Cognitive Robotic Engine: Behavioral Perception Architecture for Human-Robot Interaction,2007,Human Robot Interaction,10.5772/5195,book-chapter
reflection robot perception,Killer Robot Obsession as a Self-reflection,2024,SSRN Electronic Journal,10.2139/ssrn.4765053,journal-article
reflection robot perception,Some Thoughts on the Interaction between Perception and Reflection,2012,From Perception to Consciousness,10.1093/acprof:osobl/9780199734337.003.0034,book-chapter
reflection robot perception,Other Vision-based Robot Guidance Methods,1993,Neural Network Perception for Mobile Robot Guidance,10.1007/978-1-4615-3192-0_11,book-chapter
reflection robot perception,Preface,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00028-2,book-chapter
reflection robot perception,Contents,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00004-x,book-chapter
reflection robot perception,A deep neural network solution towards mobile robot perception and exploration,2016,,10.14711/thesis-b1584778,dissertation
reflection robot perception,Index,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00027-0,book-chapter
reflection robot perception,Editors biographies,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00030-0,book-chapter
reflection robot perception,Experimental Study on Open Interior-Places Perception of Robot Based on “Prototype”,2013,Robot,10.3724/sp.j.1218.2013.00491,journal-article
reflection robot perception,Exploring perception differences in AI medical chatbot trust: Comparison of Robot perception and human perception by PLS-MGA (Preprint),2024,,10.2196/preprints.66172,posted-content
reflection robot perception,"Evaluation, Perception and Reflection",2014,Value Theory,10.1007/978-3-642-25617-2_6,book-chapter
reflection robot perception,Vibration Analysis of a High-altitude Cable Deicing Robot,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518306,proceedings-article
reflection robot perception,A HeARTfelt Robot: Social Robot-Driven Deep Emotional Art Reflection with Children,2024,2024 33rd IEEE International Conference on Robot and Human Interactive Communication (ROMAN),10.1109/ro-man60168.2024.10731162,proceedings-article
reflection robot perception,Preface,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518154,proceedings-article
reflection robot perception,Neural Network Perception for Mobile Robot Guidance,1993,,10.1007/978-1-4615-3192-0,book
reflection robot perception,Robot Perception and Sensing for Environmental Awareness,2023,Turkish Online Journal of Qualitative Inquiry,10.52783/tojqi.v11i4.10025,journal-article
reflection robot perception,Behavior-grounded multi-sensory object perception and exploration by a humanoid robot,2018,,10.31274/etd-180810-3415,dissertation
reflection robot perception,On Board Camera Perception and Tracking of Vehicles,2007,Robot Vision,10.5220/0002066600570066,proceedings-article
reflection robot perception,,2020,,10.1117/12.2560699.6151653478001,component
reflection robot perception,"15. Phenomenology as First-Order Perception: Speech, Vision, and Reflection in Merleau-Ponty",2017,Perception and its Development in Merleau-Ponty's Phemenology,10.3138/9781487512859-018,book-chapter
reflection robot perception,Front Matter,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00002-6,book-chapter
reflection robot perception,Active Perception and Robot Vision,1992,,10.1007/978-3-642-77225-2,book
reflection robot perception,ENVIRONMENT PERCEPTION WITH A LASER RADAR IN A FAST MOVING ROBOT,1989,Robot Control 1988 (Syroco '88),10.1016/b978-0-08-035742-3.50050-2,book-chapter
reflection robot perception,Perception of affect elicited by robot motion,2010,2010 5th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri.2010.5453269,proceedings-article
reflection robot perception,"Critical thinking, reflection, and perception in a climate change project for English translation students: An exploratory study",2025,,10.31274/td-20250502-263,dissertation
reflection robot perception,Scene Segmentation in the Framework of Active Perception,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_11,book-chapter
reflection robot perception,The Impact of Robot Appearance Types and Robot Behavior Types on People's Perception of a Robot,2014,Journal of Digital Design,10.17280/jdd.2014.14.3.001,journal-article
reflection robot perception,Improving Robot Social Perception in Human-Robot-Interaction Using Multi-modal Cues,2024,2024 7th Iberian Robotics Conference (ROBOT),10.1109/robot61475.2024.10796953,proceedings-article
reflection robot perception,Phenomenology as Radical Reflection,2021,Purpose and Procedure in Philosophy of Perception,10.1093/oso/9780198853534.003.0012,book-chapter
reflection robot perception,Perception is Only Real When Shared: A Mathematical Model for Collaborative Shared Perception in Human-Robot Interaction,2022,Frontiers in Robotics and AI,10.3389/frobt.2022.733954,journal-article
reflection robot perception,Robot Co-design Can Help Us Engage Child Stakeholders in Ethical Reflection,2022,2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri53351.2022.9889430,proceedings-article
reflection robot perception,Copyright Page,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11517990,proceedings-article
reflection robot perception,Through the Looking Glass: How the Relationship between an Object and its Reflection Affects the Perception of Distance and Size,2007,Perception,10.1068/p5605,journal-article
reflection robot perception,Perception de l'environnement de navigation pour un robot autonome en milieu agricole,2026,,10.70675/e182329fz4d6ez4b03z9036ze0f2d6309243,dissertation
reflection robot perception,Title Page,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518258,proceedings-article
reflection robot perception,Program for 3D Perception,2007,Cognitive Technologies,10.1007/978-3-540-68916-4_16,book-chapter
reflection robot perception,A reflection on faces seen under mirror reversal,2024,Perception,10.1177/03010066241279606,journal-article
reflection robot perception,Author Index,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518240,proceedings-article
reflection robot perception,SPATIAL UNCERTAINTY MANAGEMENT FOR A MOBILE ROBOT AND ITS ROLE IN EXPECTATION-BASED PERCEPTION,1989,Robot Control 1988 (Syroco '88),10.1016/b978-0-08-035742-3.50051-4,book-chapter
reflection robot perception,The Influence of Robot Number on Robot Group Perception—A Call for Action,2020,ACM Transactions on Human-Robot Interaction,10.1145/3394899,journal-article
reflection robot perception,Perception for Human Motion Understanding,2005,Studies in Computational Intelligence,10.1007/11504634_7,book-chapter
reflection robot perception,Authoring Robot Presentation for Promoting Reflection on Presentation Scenario,2019,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri.2019.8673278,proceedings-article
reflection robot perception,"Self-Reflection, Perception, and Conceptual Thought",2019,Leibniz's Naturalized Philosophy of Mind,10.1093/oso/9780198714583.003.0012,book-chapter
reflection robot perception,Overview of the robot intelligent visual perception system,2026,Intelligent Robotic Visual Perception with Deep Learning,10.1016/b978-0-443-33532-7.00006-9,book-chapter
reflection robot perception,Perception and Reflection,1981,The Modern Schoolman,10.5840/schoolman198158443,journal-article
reflection robot perception,A Robot Experiment in Collective Perception,2017,Studies in Computational Intelligence,10.1007/978-3-319-53609-5_8,book-chapter
reflection robot perception,Final Reflection and Culminating Project,2021,In the Mind's Eye,10.4324/9781003235750-18,book-chapter
reflection robot perception,Personality perception of robot avatar tele-operators,2016,2016 11th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri.2016.7451745,proceedings-article
reflection robot perception,Spatial Perception and Robot Operation: Should Spatial Abilities Be Considered When Selecting Robot Operators?,2011,PsycEXTRA Dataset,10.1037/e578902012-271,dataset
reflection robot perception,The wide-angle reflection eye camera for visual choice and pupil size,1968,Perception &amp; Psychophysics,10.3758/bf03212708,journal-article
reflection robot perception,Understanding the Perception of Incremental Robot Response in Human-Robot Interaction,2020,2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),10.1109/ro-man47096.2020.9223615,proceedings-article
reflection robot perception,Cultural Differences in Social Robot Perception,2024,"The Cambridge Handbook of the Law, Policy, and Regulation for Human–Robot Interaction",10.1017/9781009386708.031,book-chapter
reflection robot perception,Task Perception,2017,Robot Learning by Visual Observation,10.1002/9781119091882.ch2,other
reflection robot perception,Acknowledgements,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00029-4,book-chapter
reflection robot perception,Table of Contents,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518174,proceedings-article
reflection robot perception,Enhancing robot perception with 3D sensors,2009,SPIE Newsroom,10.1117/2.1200910.1840,journal-article
reflection robot perception,,2026,,10.1117/12.3079482.d183f871-ad5b-f011-a9aa-00505691c5e1,component
reflection robot perception,A Capsule Robot Attitude Transformation Perception Method based on Intestinal Fold Features,2021,International Journal of Science and Research (IJSR),10.21275/sr21121141514,journal-article
reflection robot perception,"Interlocution, Perception, and Memory",2013,Cognition Through Understanding,10.1093/acprof:oso/9780199672028.003.0012,book-chapter
reflection robot perception,"Perceiving-Acting Cycle for Prediction-Based Perception of a Partner Robot Naoyuki Kubota, Kenichiro Nishida, &amp; Hiroyuki Masuta",2010,Studies in Perception and Action IX,10.4324/9780203837696-12,book-chapter
reflection robot perception,MAKER: Development of Smart Mobile Robot System to Help Middle School Students Learn about Robot Perception,2016,2016 ASEE Annual Conference &amp; Exposition Proceedings,10.18260/p.25617,proceedings-article
reflection robot perception,"Towards Increasing Robot Autonomy in CHARM Facility: Network Performance, 3D Perception, and Human Robot Interface",2024,"Proceedings of the 21st International Conference on Informatics in Control, Automation and Robotics",10.5220/0013020100003822,proceedings-article
reflection robot perception,"Aristotle on Becoming Good: Habituation, Reflection, and Perception",2012,The Oxford Handbook of Aristotle,10.1093/oxfordhb/9780195187489.013.0020,book-chapter
reflection robot perception,Effect of Haptic Perception Rehabilitation Robot Training on Hand Grasping Function After Stroke,2024,2024 World Rehabilitation Robot Convention (WRRC),10.1109/wrrc62201.2024.10696352,proceedings-article
reflection robot perception,Does a wearing change perception toward a robot?,2021,2021 30th IEEE International Conference on Robot &amp; Human Interactive Communication (RO-MAN),10.1109/ro-man50785.2021.9515366,proceedings-article
reflection robot perception,Perception of affect elicited by robot motion,2010,Proceeding of the 5th ACM/IEEE international conference on Human-robot interaction - HRI '10,10.1145/1734454.1734473,proceedings-article
reflection robot perception,Mechanism and Circuit Design of Intelligent Explosive Disposal Robot,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518422,proceedings-article
reflection robot perception,"2 Perception, Expression, and Reflection",2020,Post-Cartesian Meditations,10.1515/9780823296408-003,book-chapter
reflection robot perception,Relevant Perception Modalities for Flexible Human-Robot Teams,2020,2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),10.1109/ro-man47096.2020.9223593,proceedings-article
reflection robot perception,Actor-Critic Based Reinforcement Learning For Continuous Control In Autonomous Robot Navigation,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518242,proceedings-article
reflection robot perception,Perception of Robot Smiles and Dimensions for Human-Robot Interaction Design,2006,ROMAN 2006 - The 15th IEEE International Symposium on Robot and Human Interactive Communication,10.1109/roman.2006.314372,proceedings-article
reflection robot perception,Distributed Consensus with Visual Perception in Multi-Robot Systems,2015,,10.1007/978-3-319-15699-6,book
reflection robot perception,Robot Mapping and Navigation by Fusing Sensory Information,2007,Mobile Robots: Perception &amp; Navigation,10.5772/4790,book-chapter
reflection robot perception,Motion Understanding Systems,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_1,book-chapter
reflection robot perception,Conclusion,1993,Neural Network Perception for Mobile Robot Guidance,10.1007/978-1-4615-3192-0_12,book-chapter
reflection robot perception,Research on Perception and Control Technology for Robot Dexterous Operation,2022,,10.21203/rs.3.rs-1697958/v1,posted-content
reflection robot perception,Introduction,2022,Deep Learning for Robot Perception and Cognition,10.1016/b978-0-32-385787-1.00006-3,book-chapter
reflection robot perception,Segmentation of Moving Objects,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_21,book-chapter
reflection robot perception,Gaze Behaviors for Robotics,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_6,book-chapter
reflection robot perception,Design and Analysis of a Jellyfish-Inspired Robot for Water Eutrophication Remediation,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518331,proceedings-article
reflection robot perception,,2024,,10.3030/101165927,grant
reflection robot perception,The role of motion-and-visual perception in robot place learning and navigation,2022,,10.5204/thesis.eprints.229769,dissertation
reflection robot perception,The Kinect-based robot environment perception system,2023,Proceedings of the 2023 6th International Conference on Robot Systems and Applications,10.1145/3655532.3655533,proceedings-article
reflection robot perception,Risk Perception and Risk Behavior in Response to Service Robot Anthropomorphism in Banking,2022,Central European Management Journal,10.7206/cemj.2658-0845.74,journal-article
reflection robot perception,The Development of Action Perception,2020,Modelling Human Motion,10.1007/978-3-030-46732-6_5,book-chapter
reflection robot perception,Introduction,1993,Neural Network Perception for Mobile Robot Guidance,10.1007/978-1-4615-3192-0_1,book-chapter
reflection robot perception,The GAN-BiRRT* Motion Planning Method for the Filter Pool Cleaning Robot,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11517977,proceedings-article
reflection robot perception,Appreciative Reflection: A Wide-Angle Lens for Changing Perception,2014,AI Practitioner,10.12781/978-1-907549-20-5-8,journal-article
reflection robot perception,"Transforming the Urban Educator: The Power of Reflection and Its Effect on Teacher Perception, Essential Teaching Dispositions, and Teacher Leadership",2024,,10.70013/h3mx8vy9,dissertation
reflection robot perception,Human Perception of a Robot as an Authority Figure,2026,ACM Transactions on Human-Robot Interaction,10.1145/3786200,journal-article
